question_num,game_num,question,answer,ground_truth
0,1,Is it a living thing?,no,headphones
1,1,Is it man-made?,yes,headphones
2,1,Is it something that people use every day?,yes,headphones
3,1,Is it smaller than a car?,yes,headphones
4,1,Is it typically found indoors?,yes,headphones
5,1,Is it something commonly found in a kitchen?,no,headphones
6,1,Is it electronic?,yes,headphones
7,1,Is it something used for communication?,no,headphones
8,1,Is it used for entertainment?,yes,headphones
9,1,Is it a television?,no,headphones
10,1,Is it a gaming console?,no,headphones
11,1,Is it a smartphone or tablet?,no,headphones
12,1,Is it a device used for listening to music or audio?,yes,headphones
13,1,Is it a pair of headphones or earphones?,win,headphones
14,2,Is the thing you're thinking of an object?,yes,chair
15,2,Is the object something typically found indoors?,yes,chair
16,2,Is the object commonly used for recreational purposes?,no,chair
17,2,Is the object primarily used for practical purposes?,yes,chair
18,2,Is the object commonly found in the kitchen?,yes,chair
19,2,Is the object used for cooking or preparing food?,no,chair
20,2,Is the object typically used for storing or organizing items in the kitchen?,no,chair
21,2,"Is the object typically found in the kitchen but not directly related to cooking, storing,  or organizing items?",yes,chair
22,2,Is the object a kitchen appliance?,no,chair
23,2,Is the object commonly found on a kitchen countertop?,no,chair
24,2,Is the object typically kept in a kitchen cabinet or drawer?,no,chair
25,2,Is the object associated with cleaning or maintaining the kitchen?,no,chair
26,2,Is the object associated with dining or eating in the kitchen?,yes,chair
27,2,Is the object related to the consumption or serving of food or beverages?,no,chair
28,2,Is the object a piece of furniture typically found in a kitchen?,yes,chair
29,2,Is the object commonly used for sitting in the kitchen?,yes,chair
30,2,Is the object a chair or stool?,yes,chair
31,2,Is the object a stool?,no,chair
32,2,Is the object a chair?,win,chair
33,4,Is it a person?,no,moon
34,4,Is it an object we use?,no,moon
35,4,Is it alive?,no,moon
36,4,Is it a concept?,no,moon
37,4,Is it an object?,yes,moon
38,4,Is it something I might see outside?,yes,moon
39,4,Is it something I'll probably see in the city?,yes,moon
40,4,Is it something you can lift?,no,moon
41,4,Does it smell like something?,no,moon
42,4,Is it probable that I'll touch it?,no,moon
43,4,can I touch it?,yes,moon
44,4,Is it bigger than a car?,yes,moon
45,4,Is it a building?,no,moon
46,4,Is it a cloud?,no,moon
47,4,Is it the moon?,win,moon
48,5,Is it an object?,yes,cup
49,5,Is it something you can lift?,yes,cup
50,5,Is it something you can use?,yes,cup
51,5,Is it for entertainment?,no,cup
52,5,Is it in the house?,yes,cup
53,5,Is it in a specific room?,no,cup
54,5,Is it a lamp?,no,cup
55,5,Is it a specific color?,yes,cup
56,5,Is it something you'll use everyday?,yes,cup
57,5,Is it a computer?,no,cup
58,5,Does it have multiple uses?,no,cup
59,5,Is it alive?,no,cup
60,5,Is it a pot?,no,cup
61,5,Is it a chair?,no,cup
62,5,Is it a furniture,no,cup
63,5,Is it an aircondition?,no,cup
